timestamp,wind_speed,wind_direction,temperature,pressure,relative_humidity,rain,no2,pm1,pm25,pm10,o3
2023-10-01 00:01:48,0,58,17.1,1018,81.8,0,24,2,3,3,16
2023-10-01 00:11:50,0.1,226,17.2,1018,81.2,0,26,3,4,4,16
2023-10-01 00:32:04,0.2,166,17.2,1018,82,0,25,2,3,3,16
2023-10-01 00:42:06,0.1,171,17.2,1018,81.3,0,22,3,5,5,16
2023-10-01 01:02:11,0.4,155,17.2,1018,81.6,0,20,3,5,5,16
2023-10-01 01:12:10,0.1,87,17.2,1018,81.8,0,21,3,5,5,17
2023-10-01 01:32:20,0.1,109,17.1,1018,82,0,17,3,4,4,16
2023-10-01 01:42:22,0.1,238,17,1018,82.1,0,28,4,5,5,17
2023-10-01 02:02:32,0.3,145,16.8,1018,82.5,0,29,3,5,5,16
2023-10-01 02:12:34,0.3,152,16.8,1018,82.3,0,20,4,5,5,16
2023-10-01 02:32:48,0.1,90,16.8,1017,82.8,0,21,4,6,6,17
2023-10-01 02:42:51,0.4,153,16.7,1017,82.6,0,17,4,6,6,16
2023-10-01 03:03:05,0.5,159,16.6,1017,83.1,0,32,4,6,6,17
2023-10-01 03:13:08,0.4,258,16.6,1017,83.3,0,26,4,5,5,16
2023-10-01 03:33:24,0.2,115,16.5,1017,84.1,0,17,4,6,7,16
2023-10-01 03:43:26,0.3,208,16.5,1017,84.4,0,22,4,6,6,16
2023-10-01 04:03:40,0.3,94,16.4,1017,85.2,0,21,5,7,7,16
2023-10-01 04:13:39,0.3,107,16.4,1017,85.4,0,24,5,7,8,16
2023-10-01 04:33:48,0.2,148,16.4,1017,85.8,0,31,4,6,6,16
2023-10-01 04:43:51,0.3,79,16.4,1017,86.1,0,18,4,6,6,16
2023-10-01 05:03:58,0.1,89,16.4,1017,86.4,0,22,4,6,6,16
2023-10-01 05:13:56,0.2,173,16.4,1017,86.6,0,20,5,7,7,16
2023-10-01 05:23:53,0.2,137,16.3,1017,86.8,0,22,4,6,7,16
2023-10-01 05:33:53,0,192,16.4,1018,87,0,22,5,7,8,16
2023-10-01 05:43:51,0.2,169,16.4,1018,87.2,0,22,5,7,8,16
2023-10-01 05:53:48,0.3,183,16.3,1017,87.6,0,32,5,7,8,16
2023-10-01 06:03:47,0.1,155,16.4,1017,87.8,0,21,5,7,8,16
2023-10-01 06:13:46,0.1,138,16.5,1017,88,0,18,5,7,8,16
2023-10-01 06:23:43,0.1,122,17,1017,88.4,0,18,5,7,7,16
2023-10-01 06:33:42,0.2,186,18.1,1017,87.3,0,25,6,8,9,16
2023-10-01 06:43:41,0.3,70,18.8,1017,85.5,0,22,5,7,8,16
2023-10-01 06:53:44,0.2,191,19.3,1017,84,0,21,5,7,7,16
2023-10-01 07:03:42,0.2,158,19.8,1017,82.8,0,20,5,7,8,17
2023-10-01 07:13:40,0.5,89,20.2,1018,81.2,0,19,4,6,7,16
2023-10-01 07:23:37,0.3,161,20.7,1018,80.9,0,19,4,6,6,16
2023-10-01 07:29:25,0.4,122,21.2,1018,79.1,0,42,5,7,7,18
2023-10-01 07:39:27,0.4,181,21.4,1018,78.2,0,22,5,7,8,16
2023-10-01 07:49:26,0.3,141,21.7,1018,78,0,27,5,7,8,17
2023-10-01 07:59:27,0.3,238,22.1,1018,76.9,0,17,5,7,7,16
2023-10-01 08:09:29,0.4,206,22.4,1018,76.8,0,22,4,6,7,16
2023-10-01 08:19:32,0.1,92,22.8,1018,76.5,0,21,5,7,8,16
2023-10-01 08:29:30,0.2,173,23.1,1018,76.3,0,21,5,7,7,18
2023-10-01 08:39:27,0.2,174,23.5,1018,76.4,0,27,5,7,7,16
2023-10-01 08:49:28,0.4,172,24.1,1018,75.5,0,16,4,6,6,16
2023-10-01 08:59:26,0.2,249,24.4,1018,75.4,0,27,5,7,7,16
2023-10-01 09:09:23,0.4,164,24.7,1018,74.6,0,18,4,5,6,16
2023-10-01 09:19:25,0.4,94,25,1018,74.5,0,17,4,5,5,16
2023-10-01 09:29:26,0.7,226,25.1,1018,73.7,0,33,4,6,7,18
2023-10-01 09:39:28,0.4,169,25.3,1018,73.3,0,19,4,6,6,17
2023-10-01 09:49:26,0.5,152,25.5,1018,72.4,0,31,4,6,6,18
2023-10-01 09:59:27,0.6,78,25.6,1018,72.8,0,17,4,6,6,18
2023-10-01 10:09:29,0.8,225,25.9,1018,72.8,0,17,4,6,6,18
2023-10-01 10:19:25,0.6,79,26.1,1018,71.8,0,20,4,6,6,16
2023-10-01 10:29:22,1.1,118,26.1,1018,71.1,0,19,4,6,6,16
2023-10-01 10:39:24,0.7,110,26.2,1018,70.7,0,26,4,5,5,17
2023-10-01 10:49:27,0.6,146,26.3,1018,70.2,0,22,3,5,5,18
2023-10-01 10:59:23,0.5,153,26.5,1018,70.3,0,26,4,6,6,17
2023-10-01 11:09:20,0.6,135,26.7,1018,69.7,0,26,4,6,6,17
2023-10-01 11:19:17,0.4,208,26.9,1018,69,0,35,4,6,6,17
2023-10-01 11:39:27,0.6,196,27,1018,67.1,0,18,4,5,6,18
2023-10-01 11:49:27,0.8,149,27,1018,66.9,0,26,5,7,7,17
2023-10-01 12:09:34,0.8,176,27,1017,66.1,0,28,5,7,8,17
2023-10-01 12:19:35,0.5,188,26.8,1017,65.5,0,17,5,7,7,17
2023-10-01 12:39:46,1.1,173,26.3,1017,66.5,0,25,5,7,8,18
2023-10-01 12:49:47,0.6,159,26.2,1017,66.9,0,21,6,8,8,18
2023-10-01 13:09:55,0.9,139,26.2,1017,67.1,0,19,4,6,7,18
2023-10-01 13:19:56,0.9,132,26.3,1017,67.2,0,20,5,7,8,18
2023-10-01 13:40:03,0.5,113,26.3,1016,66.5,0,17,5,7,7,17
2023-10-01 13:50:00,0.2,37,26.4,1016,66.6,0,23,5,7,8,17
2023-10-01 14:10:01,1,146,26.5,1016,65.3,0,19,6,8,9,18
2023-10-01 14:19:59,0.8,175,26.5,1016,65.3,0,18,5,7,8,18
2023-10-01 14:40:02,0.4,176,26.6,1016,64.9,0,20,5,6,7,18
2023-10-01 14:49:58,0.7,157,26.6,1016,64.4,0,24,4,6,6,18
2023-10-01 14:59:55,0.6,115,26.4,1016,64.5,0,19,4,6,6,17
2023-10-01 15:09:54,0.5,231,26.4,1016,65.3,0,17,3,5,5,17
2023-10-01 15:19:55,0.3,143,26.3,1016,65.4,0,19,4,6,6,18
2023-10-01 15:29:52,0.3,90,26.3,1016,65.8,0,18,4,6,6,18
2023-10-01 15:39:54,0.5,149,26.2,1016,64.7,0,26,4,6,6,18
2023-10-01 15:49:51,0.2,157,26.1,1016,65.2,0,20,4,6,7,18
2023-10-01 15:59:48,1,226,26,1016,65.1,0,20,5,7,8,17
2023-10-01 16:09:50,0.6,62,25.9,1016,65.6,0,17,5,7,8,18
2023-10-01 16:19:51,0.3,252,25.8,1016,66.2,0,18,5,7,8,17
2023-10-01 16:29:48,0.6,83,25.7,1016,66.6,0,23,6,8,9,17
2023-10-01 16:39:45,0.1,119,25.6,1016,67.3,0,19,6,8,8,17
2023-10-01 16:49:43,0.4,120,25.5,1015,67.4,0,20,5,7,8,16
2023-10-01 16:59:45,0.2,60,25.3,1016,67.9,0,19,6,8,9,17
2023-10-01 17:09:46,0.2,93,25.1,1016,68.1,0,22,5,7,7,17
2023-10-01 17:19:47,0,56,25,1016,69.5,0,19,5,7,8,17
2023-10-01 17:29:49,0,46,24.8,1016,69.6,0,17,5,7,8,16
2023-10-01 17:39:51,0,84,24.7,1016,71.7,0,18,6,8,9,16
2023-10-01 17:49:53,0,146,24.5,1016,72.5,0,23,6,8,8,16
2023-10-01 17:59:54,0,158,24.3,1016,72.6,0,17,7,9,10,16
2023-10-01 18:09:56,0.7,143,24.1,1016,74,0,19,7,9,10,16
2023-10-01 18:19:54,0.4,108,23.7,1015,74.8,0,23,7,9,10,16
2023-10-01 18:29:55,0,52,23.3,1015,75,0,21,7,9,10,16
2023-10-01 18:39:53,0,98,23.2,1016,77,0,28,7,9,10,16
2023-10-01 18:49:55,0.1,122,23.1,1015,77.4,0,19,6,8,9,16
2023-10-01 18:59:57,0.5,143,22.9,1015,77.7,0,17,6,8,9,16
2023-10-01 19:09:58,0.5,137,22.7,1015,78.8,0,19,7,9,10,16
2023-10-01 19:19:56,0.7,145,22.5,1015,79.2,0,25,7,9,10,16
2023-10-01 19:29:54,0.3,134,22.4,1015,79.6,0,22,7,9,10,16
2023-10-01 19:39:52,0.4,130,22.5,1015,79.7,0,27,7,9,10,16
2023-10-01 19:49:50,1.1,152,22.4,1015,79.6,0,29,6,8,8,16
2023-10-01 19:59:47,0.5,103,22.4,1015,79.7,0,27,5,7,8,16
2023-10-01 20:09:45,0.5,173,22.4,1015,79.5,0,20,5,7,8,16
2023-10-01 20:19:43,0.3,154,22.4,1015,79.9,0,22,6,8,9,17
2023-10-01 20:29:41,0.5,209,22.4,1015,80.2,0,25,6,8,8,17
2023-10-01 20:39:37,0.2,189,22.3,1015,80.1,0,18,6,8,9,16
2023-10-01 20:49:35,0.1,145,22.2,1015,80.3,0,19,6,8,8,16
2023-10-01 20:59:33,0.3,129,22.1,1015,80.3,0,20,6,8,9,16
2023-10-01 21:09:31,0.3,120,22.1,1015,80,0,24,6,8,9,16
2023-10-01 21:19:29,0.3,160,22,1015,80,0,19,6,8,9,16
2023-10-01 21:29:27,0.3,142,21.9,1015,79.8,0,24,6,8,9,17
2023-10-01 21:39:25,0.1,153,21.9,1015,79.9,0,23,7,9,10,16
2023-10-01 21:49:31,0.1,56,21.8,1015,80.3,0,20,6,8,8,17
2023-10-01 21:59:28,0,133,21.7,1015,80.6,0,23,7,9,10,16
2023-10-01 22:09:27,0,108,21.7,1015,80.6,0,20,7,9,10,16
2023-10-01 22:29:30,0.1,138,21.5,1015,80.9,0,24,7,9,10,16
2023-10-01 22:39:28,0,178,21.5,1015,81,0,17,7,9,10,16
2023-10-01 22:59:33,0.1,213,21.4,1015,81.6,0,17,6,8,9,17
2023-10-01 23:09:29,0.2,153,21.4,1015,81.4,0,28,6,8,9,16
2023-10-01 23:29:33,0.3,150,21.3,1015,81.7,0,28,7,9,11,16
2023-10-01 23:39:31,0.6,138,21.3,1015,81.6,0,24,6,8,9,16
2023-10-01 23:49:29,0.1,160,21.2,1015,82,0,20,6,8,9,16
2023-10-01 23:59:27,0.1,213,21.2,1015,81.9,0,17,7,9,10,16
2023-10-02 00:09:24,0.1,166,21.2,1015,81.9,0,20,7,9,10,16
2023-10-02 00:19:22,0.1,183,21.2,1015,82.1,0,21,6,8,9,16
2023-10-02 00:29:21,0.2,117,21.2,1015,82.1,0,28,6,8,9,16
2023-10-02 00:39:19,0.1,115,21.1,1015,82.5,0,26,6,8,9,16
2023-10-02 00:49:18,0.1,182,21.1,1015,83.7,0,24,6,8,9,16
2023-10-02 00:59:15,0.1,218,21.1,1015,83.2,0,27,7,9,10,17
2023-10-02 01:09:13,0.1,163,21,1015,83,0,20,7,9,10,16
2023-10-02 01:19:11,0.5,142,21,1015,83.1,0,17,7,9,10,16
2023-10-02 01:29:10,0.2,107,21,1014,82.9,0,21,7,9,10,16
2023-10-02 01:39:08,0.4,97,20.9,1014,82.9,0,22,6,8,9,16
2023-10-02 01:49:06,0.1,94,20.9,1014,83.4,0,17,6,8,9,16
