timestamp,wind_speed,wind_direction,temperature,pressure,relative_humidity,no,no2,pm25,pm10,o3
2023-06-22 12:42:00,0.18006,136.757,17.1713,1004.55,100.0,39.7767117,190.0471696,1.46833,1.46833,28.248852799999998
2023-06-22 12:43:00,0.16686,200.058,17.1189,1004.54,100.0,39.8189253,190.0892252,1.44333,1.46333,28.3350732
2023-06-22 12:44:00,0.16573,212.94,17.1383,1004.55,100.0,39.8440419,190.0513996,1.47167,1.47167,28.5594932
2023-06-22 12:45:00,0.10785,321.198,17.227,1004.59,100.0,39.8945703,189.56083239999998,1.585,1.625,28.763548800000002
2023-06-22 12:46:00,0.22966,236.83,17.2256,1004.52,100.0,39.893205,188.76912679999998,1.51167,1.61167,28.652534399999997
2023-06-22 12:47:00,0.07859,212.367,17.2046,1004.57,100.0,39.8340543,188.4856604,1.54,1.56,28.1958544
2023-06-22 12:48:00,0.11974,132.0,17.1136,1004.54,100.0,39.765063600000005,187.9251008,1.48,1.5,28.0254716
2023-06-22 12:49:00,0.0,-9999.0,17.113,1004.57,100.0,39.780795299999994,187.603132,1.40833,1.40833,27.8174568
2023-06-22 12:50:00,0.0,-9999.0,17.1331,1004.59,100.0,39.81756,187.32391439999998,1.42,1.46,27.5873332
2023-06-22 12:51:00,0.05701,224.749,17.2255,1004.59,100.0,39.8644599,187.078612,1.42,1.42,27.417028799999997
2023-06-22 12:52:00,0.0,-9999.0,17.2346,1004.54,100.0,39.8317788,187.10301439999998,1.36,1.36,27.2639136
2023-06-22 12:53:00,0.05092,231.16,17.2202,1004.54,100.0,39.783070800000004,187.692902,1.36,1.36,27.197724400000002
2023-06-22 12:54:00,0.07083,171.777,17.2246,1004.59,100.0,39.9062184,188.0760272,1.32,1.32,27.0497052
2023-06-22 12:55:00,0.56807,187.57,17.2436,1004.51,100.0,40.023166800000006,188.4817688,1.36,1.38,27.0587996
2023-06-22 12:56:00,0.25913,220.768,17.2169,1004.48,100.0,40.0629573,188.93063759999998,1.50333,1.50333,27.306328
2023-06-22 12:57:00,0.12816,207.606,17.2176,1004.47,100.0,40.07066939999999,188.87585439999998,1.59667,1.63667,27.396527199999998
2023-06-22 12:58:00,0.36469,236.463,17.1998,1004.51,100.0,40.0003257,188.7125764,1.49167,1.49167,27.5030532
2023-06-22 12:59:00,0.01438,303.4,17.0999,1004.48,100.0,39.8062194,188.28773399999997,1.39667,1.39667,27.891289999999998
2023-06-22 13:00:00,0.11875,243.899,17.0683,1004.44,100.0,39.7444857,187.464576,1.52,1.56,28.29603
2023-06-22 13:01:00,0.16656,347.207,17.1138,1004.48,100.0,39.6148314,186.39790159999998,1.53167,1.53167,28.4993016
2023-06-22 13:02:00,0.21789,186.748,17.1533,1004.48,100.0,39.4538613,185.8436964,1.51167,1.51167,28.679543199999998
2023-06-22 13:03:00,0.30075,117.168,17.219,1004.46,100.0,39.3739851,184.9222896,1.52833,1.52833,28.7922236
2023-06-22 13:04:00,0.02899,9.82642,17.2005,1004.41,100.0,39.2615754,184.1326896,1.36833,1.36833,28.814842
2023-06-22 13:05:00,0.08465,171.174,17.1183,1004.5,100.0,39.1984887,183.887406,1.38,1.38,28.7096684
2023-06-22 13:06:00,0.09168,63.859,17.1789,1004.43,100.0,39.1683783,184.10336159999997,1.34833,1.34833,28.514844399999998
2023-06-22 13:07:00,0.07432,203.488,17.1997,1004.44,100.0,39.2148231,184.301288,1.30333,1.30333,28.696105199999998
2023-06-22 13:08:00,0.04814,194.67,17.1123,1004.39,100.0,39.3276879,184.68405599999997,1.36833,1.36833,28.814842
2023-06-22 13:09:00,0.04631,221.645,17.1322,1004.38,100.0,39.4833567,185.1417608,1.44,1.48,28.579054
2023-06-22 13:10:00,0.0,-9999.0,17.1126,1004.43,100.0,39.485029499999996,185.3382772,1.41167,1.41167,28.4615324
2023-06-22 13:11:00,0.15741,222.967,17.1378,1004.37,100.0,39.5220894,185.9235776,1.38833,1.38833,28.50183
2023-06-22 13:12:00,0.23544,245.942,17.1088,1004.27,100.0,39.6131709,186.298224,1.44,1.44,28.481054
2023-06-22 13:13:00,0.15747,217.949,16.9952,1004.32,100.0,39.6358644,186.35654159999999,1.50333,1.52333,28.684462800000002
2023-06-22 13:14:00,0.16925,208.84,16.996,1004.38,100.0,39.7059129,185.78396879999997,1.43667,1.43667,29.051022
2023-06-22 13:15:00,0.58554,196.258,16.984,1004.33,100.0,39.6759501,185.8355748,1.46333,1.46333,29.409133599999997
2023-06-22 13:16:00,0.09372,342.821,16.9403,1004.31,100.0,39.520884,185.6242064,1.53667,1.53667,29.8157748
2023-06-22 13:17:00,0.03404,341.418,16.9744,1004.34,100.0,39.3570357,185.40932239999998,1.43167,1.43167,29.928788400000002
2023-06-22 13:18:00,0.1871,241.784,17.014,1004.38,100.0,39.275339100000004,184.90920479999997,1.39667,1.39667,29.890215599999998
2023-06-22 13:19:00,0.41014,207.583,17.0465,1004.31,100.0,39.2412927,184.662154,1.40333,1.40333,29.899251200000002
2023-06-22 13:20:00,0.16177,215.105,16.9614,1004.3,100.0,39.208008899999996,184.3564284,1.4,1.4,29.9120892
2023-06-22 13:21:00,0.0807,224.826,16.9213,1004.22,100.0,39.1266198,184.4843624,1.38833,1.38833,29.940078
2023-06-22 13:22:00,0.18731,342.467,16.9292,1004.24,100.0,39.0438654,185.19336679999998,1.27167,1.27167,30.0568352
2023-06-22 13:23:00,0.19929,205.002,16.9945,1004.24,100.0,39.0359934,185.4552696,1.28833,1.28833,30.0239072
2023-06-22 13:24:00,0.07695,48.3227,16.9569,1004.16,100.0,39.1189077,186.0172392,1.32333,1.32333,29.9286316
2023-06-22 13:25:00,0.04782,80.0221,17.0087,1004.18,100.0,39.1897065,186.242388,1.43667,1.43667,30.186253999999998
2023-06-22 13:26:00,0.04785,70.0103,17.0093,1004.24,100.0,39.1975785,186.19147759999998,1.39167,1.39167,30.209538799999997
