timestamp,temperature,pressure,relative_humidity,no2,pm1,pm25,pm10,o3
2023-10-01 00:11:23,15.8,1020,76.5,20,3,4,4,18
2023-10-01 00:21:35,15.8,1020,76.5,17,2,3,3,18
2023-10-01 00:31:51,15.7,1020,76.9,25,2,4,4,18
2023-10-01 00:42:03,15.7,1020,77,18,3,4,4,18
2023-10-01 00:52:16,15.7,1020,77.2,17,3,4,4,18
2023-10-01 01:02:28,15.7,1020,77.8,21,3,5,5,18
2023-10-01 01:12:41,15.7,1020,77.9,23,3,5,5,18
2023-10-01 01:22:54,15.7,1020,78,17,3,5,5,18
2023-10-01 01:33:06,15.6,1020,78.5,17,2,3,3,18
2023-10-01 01:43:19,15.5,1020,78.8,17,3,4,4,18
2023-10-01 01:53:31,15.5,1019,78.9,18,3,5,5,18
2023-10-01 02:03:44,15.4,1019,79.1,18,4,5,5,18
2023-10-01 02:13:56,15.4,1019,79.3,17,3,5,5,18
2023-10-01 02:24:08,15.4,1019,79.3,17,3,5,5,18
2023-10-01 02:34:21,15.4,1019,79.7,20,4,5,5,18
2023-10-01 02:44:34,15.4,1019,79.8,17,4,6,6,18
2023-10-01 02:54:45,15.5,1019,79.6,20,4,6,6,18
2023-10-01 03:04:59,15.5,1019,79.8,19,3,5,5,18
2023-10-01 03:15:11,15.5,1019,80,17,3,5,5,18
2023-10-01 03:25:22,15.5,1019,80.2,25,4,6,6,18
2023-10-01 03:35:34,15.5,1019,80.7,19,3,5,5,18
2023-10-01 03:45:47,15.4,1019,81,18,4,5,5,18
2023-10-01 03:55:58,15.4,1019,81.3,18,4,6,6,18
2023-10-01 04:06:10,15.4,1019,81.6,23,5,6,7,18
2023-10-01 04:16:23,15.3,1019,82,19,4,6,6,18
2023-10-01 04:26:35,15.4,1019,82.1,18,4,5,5,18
2023-10-01 04:36:48,15.4,1019,82.3,18,5,7,7,18
2023-10-01 04:47:00,15.3,1019,82.5,19,4,6,6,18
2023-10-01 04:57:12,15.4,1019,82.6,17,4,5,5,18
2023-10-01 05:07:25,15.4,1019,82.8,19,4,5,6,18
2023-10-01 05:17:38,15.3,1019,83.1,18,5,7,7,18
2023-10-01 05:27:51,15.3,1019,83.3,17,4,6,6,18
2023-10-01 05:38:03,15.4,1019,83.3,23,4,6,6,18
2023-10-01 05:48:15,15.4,1019,83.6,17,5,7,8,18
2023-10-01 05:58:29,15.5,1019,83.4,21,4,6,7,18
2023-10-01 06:08:40,15.7,1019,83.3,23,5,6,7,18
2023-10-01 06:29:14,15.9,1019,83,26,5,7,8,18
2023-10-01 06:39:26,16.1,1019,82.8,20,5,6,7,18
2023-10-01 06:59:59,16.4,1019,82.1,17,5,6,7,18
2023-10-01 07:10:11,16.7,1019,81.6,19,5,7,7,18
2023-10-01 07:20:27,16.9,1019,81.4,17,5,7,7,18
2023-10-01 07:30:39,17.3,1019,80.7,17,5,6,7,18
2023-10-01 07:40:51,17.7,1019,79.8,20,5,6,7,18
2023-10-01 07:51:03,18,1019,78.9,18,5,6,7,18
2023-10-01 08:01:15,18.4,1019,78.1,21,5,7,8,18
