timestamp,wind_speed,wind_direction,temperature,pressure,relative_humidity,rain,no2,pm1,pm25,pm10,o3
2024-02-01 00:03:21,1.6,204,10.8,1022,78.3,0,64,5,7,8,17
2024-02-01 00:13:21,1.5,167,10.8,1021,79,0,68,7,9,10,18
2024-02-01 00:23:21,2,172,10.9,1021,79.4,0,64,7,9,10,18
2024-02-01 00:43:33,1.2,188,10.7,1021,80.3,0,55,7,9,10,17
2024-02-01 00:53:33,0.7,163,10.4,1021,82.2,0,59,6,8,9,16
2024-02-01 01:13:41,1.2,182,10.1,1021,85.6,0,52,7,9,10,16
2024-02-01 01:23:41,0.6,213,10,1021,86.9,0,48,7,10,11,16
2024-02-01 01:43:50,1,154,9.9,1021,89.6,0,47,7,9,10,16
2024-02-01 01:53:50,0.6,206,10.2,1021,88.8,0,46,7,10,11,16
2024-02-01 02:13:58,1.1,203,10,1021,90.3,0,49,7,10,11,16
2024-02-01 02:23:57,0.8,178,10.1,1021,90.5,0,42,6,8,9,16
2024-02-01 02:44:06,1.1,212,10.1,1021,91.6,0,50,7,9,10,16
2024-02-01 03:14:21,1,257,10.3,1022,92.9,0,57,5,7,7,16
2024-02-01 03:44:30,0.5,255,10.4,1022,93.1,0,37,4,6,6,16
2024-02-01 03:54:30,1.4,294,10.5,1022,93.8,0,46,4,6,6,16
2024-02-01 04:14:38,0.8,270,10.6,1022,95,0,44,6,8,8,16
2024-02-01 04:24:40,0.9,306,10.8,1022,94.8,0,47,5,7,7,17
2024-02-01 04:44:47,0.8,318,10.9,1022,94.9,0,56,7,9,10,16
2024-02-01 04:54:47,1.1,324,11,1022,95.5,0,55,8,11,12,16
2024-02-01 05:14:56,1.3,310,11.1,1023,95.7,0,42,9,12,13,16
2024-02-01 05:24:56,1.5,317,11.2,1023,95.9,0,60,10,13,14,16
2024-02-01 05:45:04,1,261,10.8,1023,91.8,0,58,6,8,9,16
2024-02-01 05:55:04,2.1,322,10.4,1023,87.3,0,70,3,4,4,17
2024-02-01 06:25:14,0.8,207,9.6,1024,83.2,0,72,1,2,2,16
2024-02-01 06:55:32,0.4,325,9.3,1024,83.6,0,65,1,2,2,16
2024-02-01 07:15:49,0.9,301,9.1,1025,83.8,0,60,1,2,2,16
2024-02-01 07:25:53,0.5,287,9,1025,84,0,69,1,2,2,16
2024-02-01 07:46:07,1.2,330,8.6,1026,84,0,60,1,2,2,16
2024-02-01 07:56:12,2.2,322,8.5,1026,83.3,0,71,2,3,3,18
2024-02-01 08:16:20,0.7,290,8.5,1026,82.9,0,75,2,3,3,16
2024-02-01 08:26:26,0.4,289,8.6,1026,82.9,0,66,3,4,5,16
2024-02-01 08:46:44,0.8,313,8.7,1026,82.4,0,76,2,3,3,16
2024-02-01 08:56:47,1.1,318,8.8,1027,80.4,0,69,2,4,4,16
2024-02-01 09:16:59,0.6,287,9.2,1027,77.6,0,73,2,3,3,17
2024-02-01 09:26:59,0.9,298,9.5,1027,76.3,0,78,3,4,4,18
2024-02-01 10:17:17,2.1,314,10.7,1028,71.5,0,89,2,3,4,18
2024-02-01 10:27:17,1.7,309,11,1028,70.5,0,87,2,3,3,18
2024-02-01 10:47:25,1,305,12,1028,68.4,0,81,1,2,2,18
2024-02-01 10:57:25,0.6,139,12.8,1028,67.2,0,64,1,2,2,18
2024-02-01 11:17:30,1,297,13.5,1028,63.5,0,75,2,3,3,18
2024-02-01 11:27:29,0.9,237,13.8,1028,62.1,0,82,2,3,3,18
2024-02-01 11:47:37,1,235,14.3,1028,59.8,0,85,2,3,3,18
2024-02-01 11:57:37,1.3,323,14.4,1027,58.2,0,75,2,3,3,18
2024-02-01 12:07:36,0.9,277,14.8,1027,56.4,0,84,2,3,3,18
2024-02-01 12:17:35,1.3,254,15,1027,54.8,0,81,1,2,2,18
2024-02-01 12:27:34,1.7,316,15.4,1027,53.1,0,68,1,2,2,18
2024-02-01 12:37:34,1.6,303,15.4,1028,52.7,0,75,1,2,2,18
2024-02-01 12:47:33,2.4,310,15.3,1028,53.1,0,78,1,2,2,17
2024-02-01 12:57:31,1.7,299,15.1,1028,52.7,0,77,2,3,3,18
2024-02-01 13:07:30,1.2,322,15,1028,51.7,0,73,1,2,2,18
2024-02-01 13:17:28,2.3,320,14.9,1028,51.8,0,80,1,2,2,18
2024-02-01 13:27:27,2.4,287,14.3,1028,52.7,0,77,2,3,3,17
2024-02-01 13:37:27,1.5,329,14.4,1027,53.1,0,81,1,2,2,17
2024-02-01 13:47:27,1.3,305,14.5,1027,52.2,0,72,1,2,2,17
2024-02-01 13:57:26,1.8,291,13.9,1027,52.9,0,67,1,2,2,16
2024-02-01 14:07:26,1.4,311,13.4,1027,54.8,0,74,2,3,3,17
2024-02-01 14:17:26,1.2,260,13.5,1028,55.3,0,71,2,3,3,18
2024-02-01 14:27:26,0.4,159,14.1,1028,54.8,0,68,1,2,2,17
2024-02-01 14:37:26,0.7,294,14,1028,54,0,75,1,2,2,17
2024-02-01 14:47:25,1.3,298,13.1,1028,55.3,0,77,2,3,3,16
2024-02-01 14:57:25,0.8,309,12.4,1028,57.2,0,81,2,3,3,18
2024-02-01 15:07:25,1.1,323,11.9,1028,58.7,0,68,2,3,3,16
2024-02-01 15:17:24,0.8,310,11.7,1028,59.3,0,85,1,2,2,18
2024-02-01 15:27:26,1.2,318,11.4,1028,59.8,0,65,2,3,3,16
2024-02-01 15:37:26,1,304,11.2,1028,60.6,0,65,2,3,4,16
2024-02-01 15:47:26,0.9,302,10.9,1028,61.4,0,71,2,3,3,17
2024-02-01 15:57:26,0.5,264,10.6,1028,62.5,0,70,2,3,3,16
2024-02-01 16:07:27,1.1,289,10.3,1028,62.6,0,68,2,3,3,16
2024-02-01 16:17:27,1,317,10.2,1028,63.4,0,71,2,3,3,16
2024-02-01 16:27:32,0.1,280,9.9,1028,64.6,0,69,3,5,5,16
2024-02-01 16:37:32,0.1,233,9.7,1028,64.8,0,56,2,3,3,16
2024-02-01 17:07:42,0.2,159,9.4,1028,66.5,0,57,2,3,3,16
2024-02-01 17:37:51,0,110,8.4,1028,68.6,0,49,3,4,4,16
2024-02-01 17:47:52,0,168,8.2,1028,69.3,0,63,3,5,5,16
2024-02-01 18:08:02,0.3,315,7.7,1029,71.1,0,61,5,7,8,16
2024-02-01 18:18:03,0,182,7.5,1029,71.9,0,50,5,7,8,16
2024-02-01 18:38:14,0,221,7.2,1029,73.6,0,52,8,10,11,16
2024-02-01 18:48:15,0.3,134,7.1,1029,74.2,0,53,7,10,11,16
2024-02-01 19:08:26,0.2,275,6.9,1029,75,0,54,7,10,11,16
2024-02-01 19:18:25,0.1,152,6.9,1029,75.2,0,44,8,11,12,16
2024-02-01 19:38:35,0.2,276,6.7,1029,75.9,0,52,10,12,14,16
2024-02-01 19:48:37,0.4,128,6.6,1029,76.3,0,40,10,13,15,16
2024-02-01 20:08:48,0.2,255,6.4,1029,77.5,0,34,11,14,16,16
2024-02-01 20:18:48,0.5,314,6.5,1029,78.2,0,53,13,16,18,16
2024-02-01 20:39:00,0.6,242,6.3,1029,78.9,0,35,12,15,17,16
2024-02-01 20:49:00,0.2,236,6.3,1029,79.3,0,44,11,14,16,16
2024-02-01 21:09:11,0.6,86,6.2,1029,80.2,0,43,12,16,18,16
2024-02-01 21:19:12,0,102,6.4,1029,80.4,0,34,10,13,15,16
2024-02-01 21:49:24,0.5,212,6.9,1029,80.2,0,37,10,13,15,16
2024-02-01 22:09:35,0.6,303,6.7,1029,80.3,0,42,11,15,17,16
