timestamp,wind_speed,wind_direction,temperature,pressure,relative_humidity,rain,no2,pm1,pm25,pm10,o3
2023-06-05 05:18:34,0.3,182,13.7,1016,70.7,0,29,5,7,7,18
2023-06-05 05:28:42,0.6,169,14.4,1016,70.2,0,39,5,7,8,18
2023-06-05 05:38:54,0.5,136,14.9,1017,68.4,0,34,5,7,7,18
2023-06-05 05:49:06,0.6,140,15.2,1016,68.2,0,34,6,8,8,18
2023-06-05 05:59:14,0.3,237,15.5,1017,67.5,0,35,6,8,9,18
2023-06-05 06:09:19,0.6,311,15.8,1017,67.6,0,41,7,9,10,18
2023-06-05 06:19:23,1,115,16.2,1017,66,0,34,5,7,7,18
2023-06-05 06:29:26,0.6,87,16.6,1017,65.3,0,37,5,7,8,18
2023-06-05 06:39:28,0.6,127,17.1,1017,65,0,41,6,8,8,18
2023-06-05 06:49:32,0.9,213,17.4,1017,64.9,0,40,6,8,9,18
2023-06-05 06:59:31,0.8,255,17.8,1017,63.7,0,38,6,8,9,18
2023-06-05 07:09:35,0.6,251,18.4,1017,62.6,0,28,6,8,9,18
2023-06-05 07:19:41,0.4,224,19,1017,61.6,0,23,5,7,8,18
2023-06-05 07:29:44,0.4,165,19.3,1017,60.4,0,39,6,8,8,18
2023-06-05 07:39:52,0.7,262,19.6,1017,59.7,0,35,6,8,9,18
2023-06-05 07:49:53,0.3,204,20,1017,59.1,0,43,5,7,7,18
2023-06-05 07:59:56,0.4,259,20.4,1017,58.6,0,33,5,7,8,18
2023-06-05 08:09:58,0.7,234,20.8,1017,57.3,0,32,6,8,8,18
2023-06-05 08:20:05,0.1,250,21.4,1017,56.8,0,25,5,7,8,18
2023-06-05 08:30:08,0.7,222,21.7,1017,56.1,0,44,7,9,10,18
2023-06-05 08:40:10,1.1,299,21.5,1017,55.7,0,35,6,8,8,18
2023-06-05 08:50:13,0.7,316,21.9,1017,55.5,0,45,5,7,8,18
2023-06-05 09:00:16,0.8,157,22.3,1017,54.4,0,45,6,8,8,18
2023-06-05 09:10:18,0.5,148,22.9,1017,53.5,0,27,4,6,6,18
2023-06-05 09:20:21,0.5,208,23.3,1017,52,0,48,5,6,7,18
2023-06-05 09:30:27,0.8,260,23.6,1017,51.2,0,40,5,7,8,18
2023-06-05 09:40:29,0.2,120,24.4,1017,51.2,0,40,4,6,7,18
2023-06-05 09:50:31,0.5,211,24.9,1017,49.5,0,57,5,7,7,18
2023-06-05 10:00:33,1.4,109,25.2,1017,48.9,0,38,4,6,6,18
2023-06-05 10:10:34,0.8,223,25.6,1017,48.1,0,52,4,5,6,18
2023-06-05 10:20:36,0.8,166,25.8,1017,47.2,0,56,4,5,6,18
2023-06-05 10:30:38,1.2,131,26.1,1017,46.9,0,49,4,5,5,18
2023-06-05 10:40:40,1.1,116,26.6,1017,45.8,0,47,3,5,5,18
2023-06-05 10:50:43,0.5,125,27.5,1017,44.7,0,17,3,4,4,18
2023-06-05 11:00:44,1.3,108,28.3,1017,44.3,0,23,3,4,4,18
2023-06-05 11:10:45,0.9,169,28.6,1017,41.7,0,43,3,5,5,18
2023-06-05 11:20:45,1.8,234,28.7,1017,41.5,0,74,4,5,5,23
2023-06-05 11:30:46,1,189,29.7,1017,39.7,0,27,2,3,3,18
2023-06-05 11:40:47,0.6,161,30.1,1017,40,0,47,2,3,3,18
2023-06-05 11:50:49,1.2,302,29.9,1017,38.3,0,68,3,4,4,19
2023-06-05 12:00:50,0.5,113,29.4,1016,40.3,0,62,2,3,3,22
2023-06-05 12:10:51,0.8,201,29.7,1016,39.5,0,44,3,4,4,18
2023-06-05 12:20:51,1,292,29,1016,39.6,0,65,2,3,3,23
2023-06-05 12:30:52,0.8,218,29.1,1016,39.3,0,57,3,4,4,20
2023-06-05 12:40:53,0.8,255,29.1,1016,39.2,0,50,2,3,3,24
2023-06-05 13:01:02,1.3,211,29.4,1016,38.4,0,45,2,3,3,18
2023-06-05 13:11:03,1.3,171,29.7,1016,39.1,0,26,2,3,3,18
2023-06-05 13:31:10,1.1,163,29.9,1016,38.7,0,36,2,3,3,18
2023-06-05 13:41:27,0.8,144,30.1,1016,38.1,0,46,1,2,2,18
2023-06-05 14:01:40,1.7,245,29.8,1016,37.2,0,53,2,3,3,18
2023-06-05 14:11:41,0.9,206,29.9,1015,38.3,0,25,4,6,6,18
2023-06-05 14:31:42,1.1,269,29.9,1015,37.4,0,54,2,3,3,19
2023-06-05 14:41:39,1.4,285,29,1015,38.4,0,66,2,3,3,19
2023-06-05 15:01:42,0.5,102,29.7,1015,38.4,0,23,2,3,3,18
2023-06-05 15:11:43,0.7,148,30,1015,37.9,0,54,2,3,3,23
2023-06-05 15:31:58,0.5,143,29.6,1015,38.3,0,33,1,2,2,18
2023-06-05 15:41:59,0.8,109,29.5,1015,38.7,0,17,1,2,2,18
2023-06-05 16:02:14,0.7,280,29.2,1015,39.1,0,72,2,3,3,31
2023-06-05 16:12:21,0.5,183,29.9,1015,38.9,0,49,2,3,3,18
2023-06-05 16:32:30,1.2,129,30.7,1015,37.8,0,36,2,3,3,18
2023-06-05 16:42:32,1,273,29.2,1015,39,0,84,2,3,3,33
2023-06-05 17:02:43,0.7,213,28,1015,41.8,0,59,3,5,5,24
2023-06-05 17:12:44,0.7,223,27.5,1015,43,0,58,4,6,6,22
2023-06-05 17:32:52,0.6,182,26.9,1015,44.3,0,66,3,4,4,28
2023-06-05 17:42:53,1.1,253,26.6,1015,45.6,0,61,3,5,5,28
2023-06-05 18:03:05,0.5,187,26.6,1015,45.9,0,35,3,4,4,18
2023-06-05 18:13:03,0.5,166,26.4,1015,46.3,0,64,3,5,5,24
2023-06-05 18:22:59,0.6,122,25.9,1015,46.7,0,43,3,4,4,18
2023-06-05 18:32:56,1,274,25.4,1015,47.8,0,49,3,5,5,20
2023-06-05 18:42:59,0.5,215,24.9,1015,48.4,0,58,3,4,4,22
2023-06-05 18:53:01,0.6,244,24.5,1015,49,0,52,3,4,4,18
2023-06-05 19:03:02,0.4,261,24.1,1015,49.6,0,56,3,4,4,24
2023-06-05 19:13:05,0.6,243,23.5,1015,50.2,0,57,3,4,4,22
2023-06-05 19:23:08,0.6,295,23.1,1015,50.7,0,52,3,5,5,24
2023-06-05 19:33:05,0.9,250,22.7,1015,53.9,0,45,4,5,5,24
2023-06-05 19:43:04,0.7,315,22.4,1015,54.7,0,38,4,5,5,18
2023-06-05 19:53:03,0.6,241,22.1,1015,55.4,0,56,4,5,6,18
2023-06-05 20:03:05,0.8,223,21.9,1015,53.6,0,49,3,4,4,18
2023-06-05 20:13:08,0.6,193,21.7,1015,53.1,0,58,3,4,4,18
2023-06-05 20:23:07,0.4,248,21.4,1015,53.6,0,51,3,4,4,19
2023-06-05 20:33:10,0.6,308,21.1,1015,54.1,0,63,3,5,5,21
2023-06-05 20:43:08,0.5,181,20.9,1015,53.8,0,52,3,4,4,21
2023-06-05 20:53:11,0.5,206,20.7,1016,53.8,0,45,3,4,4,18
2023-06-05 21:03:14,0.4,259,20.5,1016,53.8,0,49,3,4,4,18
2023-06-05 21:13:12,0.6,278,20.2,1015,54.9,0,53,3,4,4,19
2023-06-05 21:23:11,0.3,263,20,1015,55.2,0,57,2,3,3,18
2023-06-05 21:33:16,0.9,269,19.8,1015,56.6,0,49,3,4,4,18
2023-06-05 21:43:17,0.3,235,19.6,1016,56.9,0,61,3,4,4,18
2023-06-05 21:53:21,0.5,247,19.4,1015,58.1,0,46,3,5,5,18
2023-06-05 22:03:23,0.7,265,19.2,1015,59.6,0,47,4,6,6,18
2023-06-05 22:13:26,0.3,217,19,1016,59.9,0,56,3,5,5,18
