timestamp,wind_speed,wind_direction,temperature,pressure,relative_humidity,rain,no2,pm1,pm25,pm10,o3
2024-01-01 00:11:05,2.9,189,8.4,995,85.1,0,68,2,3,3,17
2024-01-01 00:21:06,2.3,111,8.3,995,86,0,67,2,3,3,17
2024-01-01 00:41:15,2.1,163,8.1,995,87.3,0,61,2,3,3,18
2024-01-01 00:51:15,1.2,126,8.2,995,87.6,0,61,1,2,2,18
2024-01-01 01:11:25,2.8,193,8.1,995,87.7,0,61,1,2,2,17
2024-01-01 01:21:26,1.9,114,8.2,995,87.6,0,61,1,2,2,18
2024-01-01 01:41:36,1.9,150,8,995,87.5,0,53,1,2,2,17
2024-01-01 01:51:38,2.3,187,8,995,87.8,0,62,1,2,2,17
2024-01-01 02:11:49,2.2,187,7.9,996,87.8,0,70,0,1,1,18
2024-01-01 02:21:47,2.4,100,8.1,996,87.2,0,61,0,1,1,17
2024-01-01 02:41:57,1.2,169,8.1,996,86.6,0,73,0,1,1,18
2024-01-01 02:51:58,1.4,226,8.1,996,86.8,0,71,0,1,1,18
2024-01-01 03:12:08,1.1,139,7.9,996,87.2,0,67,0,1,1,18
2024-01-01 03:22:09,1.8,155,8,996,86.6,0,57,1,2,2,18
2024-01-01 03:42:19,1.9,156,8.1,996,86,0,82,0,1,1,18
2024-01-01 03:52:20,1.7,121,8,996,86.3,0,75,0,1,1,18
2024-01-01 04:12:30,1.6,206,7.8,996,87.3,0,66,1,2,2,17
2024-01-01 04:22:31,2.5,172,7.7,996,87.5,0,66,0,1,1,18
2024-01-01 04:52:42,1.9,185,7.8,996,87.2,0,51,0,0,0,18
2024-01-01 05:12:52,2.9,136,7.9,997,87.1,0,57,0,1,1,18
2024-01-01 05:22:53,2.2,160,8,997,87.2,0,75,0,1,1,18
2024-01-01 05:43:02,2.2,173,8,997,87.6,0,56,0,1,1,18
2024-01-01 05:53:04,0.6,142,8,997,87.7,0,55,0,1,1,18
2024-01-01 06:13:14,2.1,246,7.5,997,89.8,0,72,0,1,1,18
2024-01-01 06:23:14,1.6,226,7.8,998,90.1,0,66,0,0,0,18
2024-01-01 06:43:24,1.7,147,7.5,998,90.7,0,73,0,1,1,17
2024-01-01 07:13:44,0.7,184,7.7,998,91.5,0,61,0,1,1,18
2024-01-01 07:23:45,2,203,7.7,999,91.3,0,61,1,2,2,17
2024-01-01 07:43:55,2.2,169,7.6,999,91.7,0,61,0,1,1,17
2024-01-01 07:53:56,1.5,235,7.6,999,92,0,66,0,1,1,18
2024-01-01 08:14:06,1.3,112,7.7,999,91.6,0,47,0,1,1,17
2024-01-01 08:24:07,1.2,155,7.9,999,91.4,0,57,0,1,1,17
2024-01-01 08:44:17,1.4,188,8.2,1000,89.7,0,68,0,1,1,18
2024-01-01 08:54:18,1.7,112,8.3,1000,89.3,0,60,0,0,0,17
2024-01-01 09:14:27,2.1,281,8.4,1000,88.2,0,65,0,0,0,18
2024-01-01 09:24:28,1.6,111,8.8,1000,87.8,0,58,0,0,0,18
2024-01-01 09:44:37,1.3,220,8.9,1001,86.3,0,72,0,1,1,17
2024-01-01 09:54:38,2.5,227,9,1001,86.2,0,67,1,2,2,18
2024-01-01 10:04:39,1.7,228,9,1001,86.3,0,62,2,3,3,18
2024-01-01 10:14:48,1.2,174,9.4,1001,85.7,0,72,2,3,3,18
2024-01-01 10:24:48,1.7,147,9.7,1001,84.5,0,61,3,4,4,18
2024-01-01 10:34:53,2.5,214,9.9,1001,83.5,0,61,2,3,3,18
2024-01-01 10:44:58,1.9,239,10.3,1001,81.6,0,69,2,3,3,18
2024-01-01 10:55:03,1.7,134,10.8,1001,80.7,0,68,2,3,3,18
2024-01-01 11:05:08,2.2,174,10.8,1001,79.5,0,66,2,3,4,18
2024-01-01 11:15:13,2.4,197,10.6,1001,79.4,0,84,2,3,3,18
2024-01-01 11:25:17,2.1,327,10.5,1001,79.5,0,68,2,3,3,17
2024-01-01 11:35:22,1.8,202,10.2,1001,79.9,0,62,1,2,3,18
2024-01-01 11:45:26,1.3,159,10.2,1001,79.5,0,64,2,3,3,18
2024-01-01 11:55:31,1.5,183,10.2,1001,80.1,0,61,2,3,3,18
2024-01-01 12:05:41,1.4,183,10.1,1001,80.6,0,51,1,2,2,16
2024-01-01 12:15:46,2.4,275,10,1001,80.3,0,76,2,3,3,18
2024-01-01 12:25:46,2.1,249,10.1,1001,80.4,0,68,2,3,3,18
2024-01-01 12:35:51,0.8,165,10.1,1001,80.4,0,72,2,3,3,17
2024-01-01 12:45:55,1,231,10.2,1002,79.9,0,61,2,3,3,18
2024-01-01 12:56:05,1.3,272,10.3,1002,79.4,0,68,2,3,3,18
2024-01-01 13:06:06,1.5,171,10.3,1001,79.5,0,66,2,3,3,18
2024-01-01 13:26:19,1.7,194,10.4,1002,79,0,57,2,3,3,17
2024-01-01 13:36:27,1.6,277,10.2,1002,79.5,0,66,2,3,3,18
2024-01-01 13:46:27,1.2,241,10.3,1002,79.7,0,50,2,3,3,16
2024-01-01 13:56:32,1.2,150,10.4,1002,79.5,0,48,1,2,2,16
2024-01-01 14:06:32,1.6,209,10.2,1002,79.9,0,54,2,3,3,16
2024-01-01 14:16:32,1.5,143,10.2,1002,79.8,0,59,2,3,3,17
2024-01-01 14:26:37,1.4,249,10.2,1002,80.2,0,59,2,3,3,17
2024-01-01 14:36:42,1.1,166,10,1002,80.3,0,60,2,3,3,17
2024-01-01 14:46:41,0.9,203,10,1002,80.2,0,48,1,2,2,16
2024-01-01 14:56:42,0.8,101,10,1002,80.4,0,44,1,2,3,16
2024-01-01 15:06:42,1.7,129,9.7,1002,80.8,0,55,1,2,2,16
2024-01-01 15:16:43,1.7,165,9.8,1002,80.4,0,54,1,2,2,17
2024-01-01 15:26:44,1.4,145,9.7,1002,80.9,0,65,1,2,2,16
2024-01-01 15:36:44,1.3,221,9.6,1002,80.9,0,50,1,2,2,17
2024-01-01 15:46:45,1.4,187,9.7,1002,80.5,0,62,1,2,2,16
