timestamp,temperature,pressure,relative_humidity,no2,pm1,pm25,pm10,o3
2023-12-19 11:16:08,7.4,1014,91.5,17,11,15,16,23
2023-12-19 11:26:16,7.4,1014,91.9,16,10,13,15,24
2023-12-19 11:36:25,7.5,1014,92.2,17,10,13,14,28
2023-12-19 11:46:33,7.5,1014,92.3,16,10,13,15,27
2023-12-19 11:56:42,7.5,1013,92.5,17,11,14,15,26
2023-12-19 12:06:51,7.6,1013,92.4,17,11,14,15,29
2023-12-19 12:16:58,7.8,1013,91.9,17,11,14,16,28
2023-12-19 12:27:07,7.6,1013,91.7,17,12,15,17,25
2023-12-19 12:37:15,7.7,1013,91.5,17,12,16,18,29
2023-12-19 12:47:23,7.8,1013,91.6,17,11,15,16,24
2023-12-19 12:57:31,7.6,1013,91.9,17,12,15,17,25
2023-12-19 13:07:39,7.6,1012,92,16,12,16,17,31
2023-12-19 13:17:46,7.7,1012,92.3,17,12,16,17,24
2023-12-19 13:27:55,7.5,1012,92.8,17,14,18,19,22
2023-12-19 13:38:03,7.6,1012,93,17,14,17,19,28
2023-12-19 13:48:11,7.6,1012,93.3,16,12,16,17,24
2023-12-19 13:58:20,7.5,1012,93.8,17,13,17,19,24
2023-12-19 14:08:28,7.6,1012,93.7,17,12,15,17,29
2023-12-19 14:18:36,7.6,1011,93.9,18,13,17,18,30
2023-12-19 14:28:45,7.5,1011,94.2,17,12,16,17,29
2023-12-19 14:38:53,7.7,1011,94.2,17,13,17,18,29
2023-12-19 14:49:01,7.8,1011,94.5,17,13,16,18,38
2023-12-19 15:09:26,7.9,1011,94.8,17,13,17,19,33
2023-12-19 15:19:33,8,1011,94.9,17,13,17,18,35
2023-12-19 15:39:58,8.1,1010,95.3,17,13,16,18,30
2023-12-19 15:50:07,8.2,1010,95.2,17,14,17,19,31
2023-12-19 16:10:31,8.1,1010,95.4,17,13,16,18,28
2023-12-19 16:20:39,8.2,1010,95.4,17,14,18,19,30
2023-12-19 16:41:04,8.2,1010,95.9,17,13,16,18,32
2023-12-19 16:51:12,8.3,1010,95.9,16,12,15,17,33
2023-12-19 17:01:21,8.3,1010,96.5,17,13,17,18,31
2023-12-19 17:11:29,8.4,1010,96.5,17,12,16,17,30
2023-12-19 17:21:36,8.5,1010,96.6,17,12,16,17,36
2023-12-19 17:31:45,8.5,1010,96.9,17,11,14,15,37
2023-12-19 17:41:53,8.6,1011,97.1,18,12,15,17,39
2023-12-19 17:52:00,8.7,1011,96.9,17,12,15,17,34
2023-12-19 18:02:09,8.7,1011,97.3,17,10,13,14,29
2023-12-19 18:12:17,8.8,1011,97.2,17,8,10,11,34
2023-12-19 18:22:25,8.8,1011,96.8,16,5,7,7,32
2023-12-19 18:32:33,8.8,1011,96.9,17,6,8,8,29
2023-12-19 18:42:42,8.8,1011,96.8,16,8,11,12,30
2023-12-19 18:52:50,8.9,1011,96.5,17,8,10,11,36
2023-12-19 19:02:58,8.8,1011,96.8,17,9,12,13,29
2023-12-19 19:13:06,8.8,1011,96.8,17,10,13,15,36
2023-12-19 19:23:13,8.9,1011,96.5,17,9,12,13,40
2023-12-19 19:33:21,8.9,1011,96.9,17,10,12,14,27
2023-12-19 19:43:29,8.9,1012,96.8,17,12,16,18,32
2023-12-19 19:53:38,8.9,1012,96.8,16,14,18,21,36
2023-12-19 20:03:46,8.9,1012,97,17,26,32,36,34
2023-12-19 20:13:54,8.8,1012,96.9,17,24,30,33,26
2023-12-19 20:24:03,8.8,1012,96.8,17,20,26,29,37
2023-12-19 20:34:11,8.8,1012,97.3,17,18,23,25,28
2023-12-19 20:44:19,8.7,1012,97.3,19,17,22,24,31
2023-12-19 20:54:28,8.8,1012,97.2,17,19,23,26,32
2023-12-19 21:04:36,8.8,1012,97.4,17,17,22,24,27
2023-12-19 21:14:45,8.7,1012,97.3,17,17,22,24,31
2023-12-19 21:24:53,8.7,1012,97.1,17,14,19,21,30
2023-12-19 21:35:01,8.7,1012,97.5,17,15,19,20,31
2023-12-19 21:45:10,8.6,1012,97.4,16,13,17,18,25
2023-12-19 21:55:18,8.7,1012,96.9,17,13,16,18,23
2023-12-19 22:05:26,8.7,1012,97,16,11,14,16,23
2023-12-19 22:15:34,8.6,1012,95.9,16,10,13,15,21
2023-12-19 22:25:42,8.4,1012,94.1,16,7,10,11,21
2023-12-19 22:35:50,8.1,1012,92.6,18,3,4,4,19
2023-12-19 22:45:58,7.8,1012,92,17,4,6,6,18
2023-12-19 22:56:07,7.7,1012,91.8,17,3,5,5,18
2023-12-19 23:06:15,7.6,1012,91.6,17,2,4,4,18
2023-12-19 23:16:24,7.3,1012,91.4,17,3,4,4,18
2023-12-19 23:26:33,7.7,1012,90.5,17,2,4,4,21
2023-12-19 23:36:42,7.1,1012,90.8,17,1,2,2,18
2023-12-19 23:46:50,6.8,1012,91,17,2,3,3,18
2023-12-19 23:57:00,6.6,1012,91.3,17,2,3,3,18
2023-12-20 00:07:09,6.4,1012,91.3,17,1,2,2,18
2023-12-20 00:17:18,6.5,1012,91.3,17,1,2,2,22
2023-12-20 00:27:27,6.4,1013,91.1,17,1,2,2,21
2023-12-20 00:37:36,6.2,1012,91,17,2,3,3,20
2023-12-20 00:47:44,6.2,1012,91,17,2,3,3,24
2023-12-20 00:57:53,6.1,1012,91.3,17,2,3,3,28
2023-12-20 01:08:02,6,1012,91.4,19,2,3,3,27
2023-12-20 01:18:11,6,1012,91.3,17,2,3,3,28
2023-12-20 01:28:19,6,1013,91.6,17,3,4,4,25
2023-12-20 01:38:28,5.9,1013,91.5,17,3,4,4,27
2023-12-20 01:48:37,5.9,1013,91.4,19,2,4,4,29
2023-12-20 01:58:47,5.8,1013,91.7,17,3,4,4,23
2023-12-20 02:08:56,5.8,1013,91.6,17,2,3,3,25
2023-12-20 02:19:05,5.8,1013,91.3,17,2,3,3,24
2023-12-20 02:29:14,5.8,1013,91.6,17,4,5,5,29
2023-12-20 02:39:23,5.7,1013,91.6,21,3,4,4,24
